#,Player,Position,Team,ESPN,Sleeper,Yahoo,CBS,RTSports,Underdog,Guillotine,FFPC,NFFC,SuperFlex
1,Jahmyr Gibbs,RB,DET,1.60 (0.20),1.60,1.60 (0.10),,1.24 (0.22),1.10,1.26,1.26 (-0.03),1.59 (0.02),1.45 (-0.02)
2,Bijan Robinson,RB,ATL,2.60 (0.10),1.80,1.80 (-0.10),,1.81 (-0.23),2.00,1.88 (0.04),2.17 (0.05),1.64 (-0.01),2.75 (0.04)
3,Ja'Marr Chase,WR,CIN,4.70 (-0.10),3.40,3.30 (-0.10),,3.14 (0.21),3.10,3.37 (-0.07),3.57 (-0.04),3.21,4.44 (-0.12)
4,Puka Nacua,WR,LA,3.80 (-0.10),4.90,4.50,,4.12 (0.03),4.10 (-0.10),4.08 (-0.11),4.48 (0.03),4.44 (0.01),5.62 (-0.24)
5,Christian McCaffrey,RB,SF,6.60 (-0.20),5.00,5.50,,5.50 (-0.38),6.20 (-0.10),5.58 (0.24),6.81 (-0.28),6.63 (-0.04),8.60 (-0.40)
6,Jaxon Smith-Njigba,WR,SEA,5.80,5.40,6.40 (-0.30),,6.07 (0.12),5.60 (-0.10),6.03 (-0.31),7.80 (-0.19),5.82 (-0.06),10.33 (0.33)
7,Jonathan Taylor,RB,IND,8.10 (0.10),7.70,7.10,,8.19 (0.27),7.80 (0.30),7.27 (0.21),9.69 (0.45),8.44 (-0.04),12.72 (0.39)
8,Amon-Ra St. Brown,WR,DET,8.30,8.10,8.30 (0.30),,7.64 (0.55),7.10,7.94 (0.11),8.55 (0.62),7.53 (0.08),11.53 (1.47)
9,James Cook,RB,BUF,13.00 (0.60),12.70,9.90,,9.50 (0.69),10.40 (1.10),9.64 (0.13),12.51 (0.45),11.45 (0.09),16.04 (0.59)
10,CeeDee Lamb,WR,DAL,10.60,10.60,10.10 (-0.30),,14.52 (0.29),9.70 (-0.10),11.73 (0.20),16.08 (0.07),11.68 (0.05),21.05 (1.22)
11,Justin Jefferson,WR,MIN,12.20 (-0.20),12.40,12.30 (-0.10),,11.50 (-1.00),10.80 (-0.70),13.80 (-0.15),16.32 (-0.50),12.61 (0.04),22.98 (-1.38)
12,Saquon Barkley,RB,PHI,17.00 (0.10),16.60,12.90 (0.50),,15.67 (0.48),13.60 (-0.10),12.69 (0.11),19.87 (-0.11),17.76 (0.12),23.71 (0.44)
13,Ashton Jeanty,RB,LV,17.90 (-0.20),15.40,13.70 (-0.40),,9.52 (-1.17),12.10 (-0.70),10.49 (-0.07),12.24 (-0.29),10.57 (0.16),15.98 (-0.61)
14,De'Von Achane,RB,MIA,12.40,12.50,15.80 (-0.40),,14.48 (-0.63),17.90 (0.10),13.97 (-0.49),21.06 (-0.44),14.93 (-0.43),27.87 (-1.74)
15,Chase Brown,RB,CIN,26.20 (0.20),19.00,16.80 (0.10),,13.69 (0.54),15.20 (0.90),16.68 (0.35),16.97 (1.48),15.34 (0.21),22.24 (3.48)
16,Kenneth Walker,RB,KC,24.80 (1.50),22.90,18.00 (1.10),,16.52 (0.06),15.00 (0.20),16.53 (0.19),20.12 (1.15),19.31 (0.26),27.05 (1.45)
17,Drake London,WR,ATL,18.90 (0.50),14.10,18.00 (-0.60),,18.90 (0.33),21.20 (-0.40),20.58 (-0.25),26.07 (-0.18),18.83 (-0.08),34.71 (0.63)
18,Omarion Hampton,RB,LAC,22.00 (-0.50),18.80,18.40 (0.20),,13.33 (-0.56),15.20 (-0.60),16.29 (0.26),16.55 (-0.53),14.39 (0.08),20.45 (-0.54)
19,Derrick Henry,RB,BAL,20.90 (-0.10),24.60,18.40 (0.40),,22.29 (1.17),17.10 (0.30),19.19 (-0.14),25.22 (0.20),23.35 (0.09),32.30 (0.70)
20,Josh Allen,QB,BUF,22.50 (0.10),28.20,19.50 (-0.20),,32.10 (2.75),36.20 (-0.80),17.69 (-0.29),22.04 (0.64),28.06 (-0.32),2.14 (-0.05)
21,Brock Bowers,TE,LV,23.70 (-0.20),20.20,20.80 (-0.60),,22.88 (-0.42),19.90,20.10 (0.07),8.76 (-0.14),22.05 (0.26),9.99 (-0.43)
22,Nico Collins,WR,HOU,27.80,25.20,21.80 (-0.40),,25.50 (-0.19),22.90 (-0.20),23.62 (0.06),30.89 (-0.24),24.82,41.70 (-0.24)
23,George Pickens,WR,DAL,28.10 (0.10),23.10,22.30 (0.10),,24.67 (0.37),23.50 (0.10),28.46 (-0.27),33.49 (-0.27),25.11 (0.10),44.92 (-0.15)
24,Trey McBride,TE,ARI,19.50 (-0.70),18.70,24.40 (-0.50),,24.36 (-0.55),29.30 (-0.40),26.05 (0.47),17.52 (-0.50),23.53 (-0.69),18.71 (-0.89)
25,A.J. Brown,WR,NE,27.20 (-0.40),19.40,25.40 (0.70),,19.50 (-1.19),18.90 (-0.30),21.55 (-0.05),24.15 (-0.03),23.71 (0.88),31.17 (1.11)
26,Jeremiyah Love,RB,ARI,19.40 (-0.60),19.70,27.10 (-0.20),,27.90 (-2.09),26.90 (-0.50),26.41 (-0.44),31.69 (-1.09),25.69 (-0.70),39.81 (-1.42)
