Name,Pos,"Team",Games,Tar,Rec,Rec Yds,Air Yds,YAC,TD,ADOT,RACR,Air %,Tar %,WOPR,Standard
Chris Olave,WR,,16,156,100,1163,1841,289,9,11.8013,0.6317,49.72%,32.77%,83.96%,10.5
Jaxon Smith-Njigba,WR,,17,163,119,1793,1833,528,10,11.2454,0.9782,41.57%,31.35%,76.12%,14.2882
Alec Pierce,WR,,15,84,47,1003,1593,174,6,18.9643,0.6296,39.68%,16.37%,52.33%,9.0867
Emeka Egbuka,WR,,17,127,63,938,1572,335,6,12.378,0.5967,36.25%,23.52%,60.66%,7.6882
Ja'Marr Chase,WR,,16,185,125,1412,1570,640,8,8.4865,0.8994,34.42%,30.48%,69.81%,11.9125
Puka Nacua,WR,,16,166,129,1715,1566,666,10,9.4337,1.0951,29.57%,28.57%,63.56%,15.5
George Pickens,WR,,17,137,93,1429,1547,479,9,11.292,0.9237,31.39%,23.14%,56.69%,11.5824
Courtland Sutton,WR,,17,124,74,1017,1542,222,7,12.4355,0.6595,34.44%,21.34%,56.12%,8.4529
Nico Collins,WR,,15,120,71,1117,1529,324,6,12.7417,0.7305,33.41%,21.82%,56.12%,10.3467
Michael Wilson,WR,,17,126,78,1006,1502,273,7,11.9206,0.6698,33.46%,20.29%,53.86%,8.3882
Davante Adams,WR,,14,114,60,789,1444,117,14,12.6667,0.5464,27.27%,19.62%,48.52%,11.6357
Justin Jefferson,WR,,17,141,84,1048,1438,451,2,10.1986,0.7288,40.18%,31.47%,75.33%,6.9118
A.J. Brown,WR,,15,121,78,1003,1425,268,7,11.7769,0.7039,33.88%,26.3%,63.17%,9.4867
Tetairoa McMillan,WR,,17,122,70,1013,1410,268,7,11.5574,0.7184,43.26%,25.42%,68.41%,8.4294
CeeDee Lamb,WR,,13,117,75,1077,1403,323,3,11.9915,0.7676,28.47%,19.76%,49.57%,9.6846
Amon-Ra St. Brown,WR,,17,172,117,1412,1390,570,11,8.0814,1.0158,37.84%,31.27%,73.4%,12.2412
DeVonta Smith,WR,,17,113,77,1008,1355,293,4,11.9912,0.7439,32.22%,24.57%,59.4%,7.3412
Troy Franklin,WR,,17,104,65,709,1321,282,6,12.7019,0.5367,29.51%,17.9%,47.5%,6.3588
