#,Player,GP,Snaps/G,Rush Att,Rush Yds,Rush Y/A,Rush TD,Rec,Targets,Rec Yds,Rec Y/C,Rec TD,FPPG,FP
1,"
Christian
McCaffrey
Questionable
RB
SF
",19,51.7,337,"1,285",3.8,10,113,143,"1,029",9.1,9,18,341.4
2,"
Jonathan
Taylor
RB
IND
",17,49.1,323,"1,585",4.9,18,46,55,378,8.2,2,18.4,312.3
3,"
Jahmyr
Gibbs
Questionable
RB
DET
",17,41.9,243,"1,223",5,13,77,94,616,8,5,16.9,287.9
4,"
Bijan
Robinson
RB
ATL
",17,48.3,287,"1,478",5.1,7,79,103,820,10.4,4,16.9,287.8
5,"
James
Cook
RB
BUF
",19,37.1,348,"1,784",5.1,12,37,46,320,8.6,2,14.8,280.4
6,"
Kyren
Williams
RB
LA
",20,43.1,303,"1,435",4.7,12,44,59,351,8,5,13.8,276.6
7,"
Derrick
Henry
RB
BAL
",17,31.8,307,"1,595",5.2,16,15,21,150,10,0,15.4,262.5
8,"
De'Von
Achane
RB
MIA
",16,42.1,238,"1,350",5.7,8,67,85,488,7.3,4,15.9,253.8
9,"
Travis
Etienne
RB
JAC
",18,38.3,270,"1,174",4.3,7,41,57,341,8.3,7,13,233.5
10,"
Kenneth
Walker
RB
SEA
",20,29.3,286,"1,340",4.7,9,40,47,386,9.7,0,11.2,224.6
11,"
D'Andre
Swift
RB
CHI
",18,37.9,255,"1,217",4.8,10,36,50,337,9.4,1,12.1,217.4
12,"
Javonte
Williams
RB
DAL
",16,45.6,252,"1,201",4.8,11,35,51,137,3.9,2,13,207.8
13,"
Chase
Brown
RB
CIN
",17,41.1,232,"1,019",4.4,6,69,88,437,6.3,5,12.2,207.6
14,"
Saquon
Barkley
RB
PHI
",17,47.1,306,"1,246",4.1,7,40,56,298,7.5,2,12.1,206.4
15,"
Josh
Jacobs
Questionable
RB
GB
",16,36,253,984,3.9,13,37,47,285,7.7,1,12.7,202.9
16,"
Ashton
Jeanty
RB
LV
",17,43.4,266,975,3.7,5,55,73,346,6.3,5,11.1,188.1
17,"
Rhamondre
Stevenson
RB
NE
",18,38.2,188,820,4.4,7,44,52,471,10.7,3,10.2,183.1
18,"
TreVeyon
Henderson
RB
NE
",21,26.5,210,987,4.7,9,40,48,254,6.4,1,8.7,182.1
19,"
Jaylen
Warren
RB
PIT
",17,29.2,223,"1,001",4.5,6,41,46,337,8.2,2,10.6,179.8
20,"
Rico
Dowdle
RB
CAR
",18,32.4,241,"1,085",4.5,6,40,52,303,7.6,1,9.8,176.8
21,"
RJ
Harvey
RB
DEN
",19,28.3,165,597,3.6,7,56,70,424,7.6,5,9.1,172.1
22,"
Breece
Hall
Questionable
RB
NYJ
",16,38.3,243,"1,065",4.4,4,36,48,350,9.7,1,10.7,171.7
23,"
Zach
Charbonnet
RB
SEA
",17,28.1,189,750,4,12,20,24,144,7.2,0,9.5,161.4
24,"
Kenneth
Gainwell
RB
PIT
",18,29.1,120,557,4.6,5,77,91,512,6.6,3,8.4,150.9
25,"
Tony
Pollard
Questionable
RB
TEN
",17,36.8,242,"1,082",4.5,5,33,41,206,6.2,0,8.9,150.8
26,"
Jo'quavioius
Marks
RB
HOU
",18,35.1,229,832,3.6,3,26,40,227,8.7,3,8,143.9
27,"
Quinshon
Judkins
Questionable
RB
CLE
",14,30.8,230,827,3.6,7,26,36,171,6.6,0,10.1,141.8
28,"
David
Montgomery
RB
DET
",17,23.2,158,716,4.5,8,24,29,192,8,0,8.2,138.9
